date,weight
7/2/2017,180.0
7/3/2017,180.0
7/4/2017,178.4
7/5/2017,177.8
7/6/2017,178.2
7/7/2017,177.4
7/8/2017,177.6
7/9/2017,178.2
7/10/2017,178.6
7/11/2017,178.4
7/12/2017,178.0
7/13/2017,177.4
7/14/2017,176.8
7/15/2017,176.0
7/16/2017,177.2
7/17/2017,177.2
7/18/2017,176.5
7/19/2017,176.5
7/20/2017,176.5
7/21/2017,176.0
7/22/2017,176.5
7/23/2017,177.2
7/24/2017,176.0
7/25/2017,174.8
7/26/2017,172.6
7/27/2017,172.6
7/28/2017,173.2
7/29/2017,173.4
7/30/2017,173.8
7/31/2017,173.6
8/1/2017,173.6
8/2/2017,173.6
8/3/2017,173.6
8/4/2017,171.8
8/5/2017,172.0
8/6/2017,172.4
8/7/2017,171.8
8/8/2017,172.0
8/9/2017,171.4
8/10/2017,170.4
8/11/2017,170.4
8/12/2017,169.4
8/13/2017,172.0
8/14/2017,171.0
8/15/2017,171.0
8/16/2017,171.0
8/17/2017,169.2
8/18/2017,169.0
8/19/2017,168.4
8/20/2017,170.0
8/21/2017,171.4
8/22/2017,171.4
8/23/2017,172.0
8/24/2017,170.0
8/25/2017,167.2
8/26/2017,166.6
8/27/2017,168.2
8/28/2017,168.6
8/29/2017,169.2
8/30/2017,166.0
8/31/2017,166.4
9/1/2017,167.2
9/2/2017,168.4
9/3/2017,169.4
9/4/2017,167.4
9/5/2017,167.4
9/6/2017,167.4
9/7/2017,166.0
9/8/2017,165.6
9/9/2017,165.4
9/10/2017,164.8
9/11/2017,165.4
9/12/2017,164.8
9/13/2017,163.8
9/14/2017,162.8
9/15/2017,163.2
9/16/2017,164.8
9/17/2017,164.0
9/18/2017,164.2
9/19/2017,164.2
9/20/2017,163.2
9/21/2017,161.2
9/22/2017,162.0
9/23/2017,162.4
9/24/2017,163.8
9/25/2017,162.4
9/26/2017,161.8
9/27/2017,160.0
9/28/2017,162.0
9/29/2017,160.0
9/30/2017,160.6
10/1/2017,160.2
10/2/2017,160.2
10/3/2017,159.8
10/4/2017,158.2
10/5/2017,158.4
10/9/2017,159.6
10/10/2017,157.2
10/11/2017,156.8
10/12/2017,156.6
10/13/2017,157.2
10/14/2017,156.8
10/15/2017,158.0
10/16/2017,159.2
10/17/2017,157.8
10/18/2017,157.6
10/19/2017,157.6
10/20/2017,155.2
10/21/2017,157.0
10/22/2017,158.0
10/23/2017,156.8
10/24/2017,155.8
10/25/2017,155.0
10/26/2017,155.0
10/27/2017,155.4
10/28/2017,155.6
10/29/2017,156.2
10/30/2017,155.0
10/31/2017,154.0
11/1/2017,155.4
11/2/2017,155.8
11/3/2017,156.6
11/4/2017,156.4
11/5/2017,157.0
11/6/2017,156.0
11/7/2017,154.4
11/8/2017,155.8
11/9/2017,156.0
11/10/2017,156.2
11/11/2017,156.4
11/12/2017,155.2
11/13/2017,155.2
11/14/2017,154.8
11/15/2017,153.6
11/16/2017,155.6
11/18/2017,156.4
11/19/2017,155.8
11/20/2017,155.0
11/21/2017,154.6
11/22/2017,154.4
11/23/2017,155.8
11/24/2017,157.0
11/25/2017,157.2
11/26/2017,157.2
11/27/2017,155.0
11/28/2017,155.8
11/29/2017,155.0
11/30/2017,156.8
12/1/2017,158.2
12/2/2017,156.8
12/3/2017,158.0
12/8/2017,158.8
12/9/2017,156.8
12/10/2017,156.4
12/11/2017,158.0
12/12/2017,159.6
12/13/2017,157.0
12/14/2017,156.6
12/15/2017,156.2
12/16/2017,155.0
12/17/2017,156.8
12/18/2017,157.0
12/20/2017,156.0
12/21/2017,154.8
12/22/2017,155.2
12/23/2017,156.0
12/24/2017,157.8
12/25/2017,158.2
12/26/2017,159.8
12/27/2017,159.6
12/28/2017,158.4
12/29/2017,159.4
12/30/2017,157.4
12/31/2017,158.8
1/1/2018,159.8
1/2/2018,159.0
1/3/2018,159.2
1/4/2018,160.0
1/5/2018,159.2
1/6/2018,160.2
1/7/2018,160.4
1/8/2018,160.8
1/9/2018,159.6
1/10/2018,158.6
1/11/2018,159.6
1/12/2018,160.0
1/13/2018,160.4
1/14/2018,158.8
1/15/2018,159.8
1/16/2018,160.6
1/17/2018,159.6
1/18/2018,160.2
1/19/2018,160.2
1/20/2018,161.0
1/21/2018,161.2
1/22/2018,160.0
1/23/2018,159.0
1/24/2018,161.0
1/25/2018,161.8
1/26/2018,160.2
1/27/2018,161.2
1/28/2018,162.8
2/7/2018,160.0
2/8/2018,159.4
2/9/2018,160.8
2/10/2018,160.8
2/11/2018,161.0
2/12/2018,160.6
2/13/2018,161.2
2/14/2018,160.6
2/15/2018,160.6
2/16/2018,160.0
2/17/2018,161.0
2/19/2018,161.2
2/20/2018,161.2
2/21/2018,160.4
2/22/2018,161.6
3/2/2018,163.6
3/3/2018,161.6
3/4/2018,161.2
3/5/2018,161.8
3/6/2018,162.0
3/7/2018,161.8
3/8/2018,162.4
3/9/2018,164.4
3/10/2018,164.0
3/22/2018,162.8
3/23/2018,162.6
3/24/2018,161.8
3/29/2018,163.2
3/30/2018,162.0
3/31/2018,162.6
4/1/2018,162.2
4/2/2018,162.4
4/3/2018,162.0
4/6/2018,162.0
4/7/2018,164.0
4/8/2018,164.2
4/9/2018,165.0
4/12/2018,164.6
4/13/2018,162.8
4/21/2018,165.2
4/22/2018,167.0
4/23/2018,165.0
4/24/2018,164.6
4/25/2018,164.8
4/26/2018,164.6
4/27/2018,163.8
4/28/2018,163.4
4/29/2018,165.2
4/30/2018,165.2
5/1/2018,166.8
5/2/2018,166.6
5/3/2018,164.4
5/8/2018,165.4
5/10/2018,165.6
5/11/2018,166.4
5/12/2018,164.4
5/13/2018,165.2
5/14/2018,163.8
5/15/2018,163.8
5/16/2018,164.2
5/17/2018,165.0
5/18/2018,165.2
5/19/2018,164.6
5/20/2018,166.4
5/21/2018,162.8
5/22/2018,162.8
5/23/2018,163.2
5/24/2018,165.0
5/25/2018,164.2
5/26/2018,164.4
5/27/2018,164.8
5/28/2018,164.8
5/29/2018,164.8
5/30/2018,164.8
5/31/2018,164.6
6/1/2018,164.6
6/2/2018,165.2
6/3/2018,164.2
6/4/2018,164.0
6/5/2018,164.0
6/6/2018,165.8
6/7/2018,166.8
6/8/2018,166.8
6/9/2018,166.0
6/10/2018,165.8
6/11/2018,166.2
6/12/2018,164.8
6/13/2018,164.2
6/14/2018,165.4
6/15/2018,162.6
6/16/2018,164.2
6/17/2018,165.0
6/18/2018,163.2
6/19/2018,163.2
6/20/2018,164.6
6/21/2018,164.6
6/22/2018,165.2
6/23/2018,166.6
6/24/2018,163.8
6/25/2018,165.0
6/26/2018,163.8
6/27/2018,160.6
6/28/2018,159.6
6/29/2018,162.6
6/30/2018,164.0
7/1/2018,163.8
7/2/2018,161.0
7/3/2018,159.6
7/4/2018,162.0
7/5/2018,164.4
7/6/2018,164.0
7/7/2018,165.0
7/8/2018,164.6
7/9/2018,164.0
7/10/2018,164.0
7/11/2018,164.0
7/12/2018,164.0
7/13/2018,163.2
7/14/2018,163.6
7/15/2018,162.8
7/16/2018,165.0
7/17/2018,165.6
7/18/2018,160.2
7/19/2018,162.2
7/20/2018,159.8
7/21/2018,162.6
7/22/2018,162.0
7/23/2018,165.2
7/24/2018,164.0
7/25/2018,162.0
7/26/2018,161.2
7/27/2018,162.6
7/28/2018,162.6
7/29/2018,162.2
7/30/2018,161.0
7/31/2018,160.8
8/1/2018,162.6
8/2/2018,162.8
8/3/2018,161.8
8/4/2018,161.4
8/5/2018,161.6
8/6/2018,162.0
8/7/2018,161.8
8/8/2018,161.2
8/9/2018,159.0
8/10/2018,160.8
8/11/2018,160.8
8/12/2018,160.6
8/13/2018,161.2
8/14/2018,159.2
8/15/2018,159.4
8/16/2018,159.0
8/17/2018,158.0
8/18/2018,158.6
8/19/2018,159.8
8/20/2018,160.0
8/21/2018,160.4
8/22/2018,159.8
8/23/2018,159.0
8/24/2018,156.8
8/25/2018,156.6
8/26/2018,157.4
8/27/2018,160.6
8/28/2018,159.2
8/29/2018,157.6
8/30/2018,161.4
8/31/2018,158.0
9/1/2018,157.2
9/2/2018,158.0
9/3/2018,159.4
9/4/2018,160.0
9/5/2018,160.0
9/6/2018,158.0
9/7/2018,158.6
9/8/2018,157.6
9/9/2018,157.4
9/10/2018,157.6
9/11/2018,158.6
9/12/2018,156.2
9/13/2018,156.6
9/14/2018,158.4
9/15/2018,160.6
9/16/2018,160.4
9/17/2018,160.4
9/18/2018,160.8
9/19/2018,159.4
9/20/2018,157.8
9/21/2018,158.4
9/22/2018,158.2
9/23/2018,158.8
9/24/2018,158.8
9/25/2018,157.6
9/26/2018,157.8
9/27/2018,159.2
9/28/2018,160.0
9/29/2018,157.4
9/30/2018,157.4
10/1/2018,157.4
10/2/2018,157.4
10/3/2018,157.4
10/4/2018,157.4
10/5/2018,156.8
10/6/2018,159.2
10/7/2018,160.0
10/8/2018,159.6
10/9/2018,158.2
10/10/2018,157.2
10/11/2018,159.4
10/12/2018,159.2
10/13/2018,158.0
10/14/2018,159.6
10/15/2018,158.8
10/16/2018,158.2
10/17/2018,158.2
10/18/2018,157.4
10/19/2018,157.4
10/20/2018,157.0
10/21/2018,158.6
10/22/2018,158.6
10/23/2018,158.8
10/24/2018,158.2
10/25/2018,157.8
10/26/2018,157.4
10/27/2018,156.4
10/28/2018,158.0
10/29/2018,158.8
10/30/2018,159.2
10/31/2018,157.2
11/1/2018,157.4
11/2/2018,159.0
11/3/2018,158.2
11/4/2018,158.2
11/5/2018,158.0
11/6/2018,158.2
11/7/2018,157.2
11/8/2018,156.4
11/9/2018,158.0
11/10/2018,157.8
11/11/2018,158.6
11/12/2018,159.2
11/13/2018,160.8
11/14/2018,159.2
11/15/2018,158.2
11/16/2018,158.0
11/17/2018,158.8
11/18/2018,158.4
11/19/2018,158.6
11/20/2018,159.6
11/21/2018,158.6
11/22/2018,159.6
11/23/2018,161.8
11/24/2018,160.8
11/25/2018,160.6
11/26/2018,160.4
11/27/2018,160.6
11/28/2018,159.6
11/29/2018,160.2
11/30/2018,158.2
12/01/2018,158.0
12/02/2018,159.6
12/03/2018,160.2
12/04/2018,159.8
12/05/2018,160.0
12/06/2018,160.2
12/07/2018,159.2
12/08/2018,158.6
12/09/2018,161.2
12/10/2018,161.0
12/24/2018,160.0
12/26/2018,161.6
12/27/2018,162.8
12/29/2018,161.4
12/30/2018,162.0
01/01/2019,162.8
01/02/2019,162.4
01/03/2019,161.4
01/04/2019,162.0
01/05/2019,162.6
01/06/2019,162.6
01/07/2019,161.2
01/08/2019,162.4
01/09/2019,163.0
01/10/2019,162.4
01/11/2019,161.6
01/12/2019,162.4
01/13/2019,163.2
01/14/2019,163.4
01/15/2019,162.8
01/16/2019,161.8
01/17/2019,163.8
01/18/2019,163.8
01/19/2019,162.0
01/20/2019,163.6
01/21/2019,164.2
01/22/2019,164.0
01/27/2019,162.4
01/28/2019,163.4
01/29/2019,163.6
01/30/2019,161.6
01/31/2019,161.2
02/01/2019,160.8
02/02/2019,161.4
02/03/2019,161.0
02/04/2019,163.4
02/05/2019,163.8
02/06/2019,164.2
02/07/2019,164.2
02/08/2019,163.0
02/09/2019,163.2
02/10/2019,162.4
02/11/2019,163.4
02/14/2019,163.4
02/15/2019,163.8
02/16/2019,163.4
02/17/2019,164.2
02/18/2019,165.4
02/19/2019,164.8
02/20/2019,164.6
02/21/2019,163.8
02/22/2019,163.6
02/23/2019,164.4
02/24/2019,164.4
02/25/2019,165.0
02/26/2019,164.2
02/27/2019,163.4
02/28/2019,163.6
03/01/2019,163.2
03/02/2019,165.0
03/03/2019,164.8
03/04/2019,165.0
03/05/2019,164.2
03/06/2019,163.2
03/07/2019,161.6
03/08/2019,162.2
03/09/2019,162.8
03/10/2019,164.8
03/11/2019,166.0
03/12/2019,167.4
03/13/2019,166.0
03/14/2019,165.8
03/15/2019,164.8
03/17/2019,163.2
03/18/2019,166.2
03/22/2019,165.8
03/24/2019,165.2
03/25/2019,165.6
04/02/2019,164.8
04/03/2019,165.4
04/04/2019,165.4
04/05/2019,165.2
04/06/2019,166.2
04/07/2019,166.4
04/08/2019,165.8
04/09/2019,165.2
04/11/2019,165.4
04/16/2019,165.2
04/17/2019,166.2
04/18/2019,166.0
04/20/2019,166.4
04/22/2019,167.8
04/24/2019,168.0
04/25/2019,166.4
04/26/2019,167.2
04/28/2019,166.2
04/29/2019,166.8
04/30/2019,165.2
05/04/2019,164.2
05/05/2019,164.2
05/06/2019,167.2
05/07/2019,169.4
05/10/2019,165.2
05/13/2019,167.6
05/14/2019,165.6
05/15/2019,167.2
05/16/2019,165.6
05/17/2019,166.0
05/20/2019,166.8
05/21/2019,167.0
05/22/2019,164.6
05/23/2019,164.6
05/24/2019,164.6
05/25/2019,166.2
05/26/2019,166.2
05/28/2019,166.6
05/29/2019,166.4
05/30/2019,163.6
06/03/2019,165.2
06/04/2019,166.0
06/05/2019,165.4
06/06/2019,164.8
06/07/2019,165.4
06/10/2019,165.6
06/13/2019,165.6
06/14/2019,165.0
06/15/2019,165.0
06/17/2019,166.2
06/19/2019,165.2
06/22/2019,164.8
06/26/2019,163.6
06/27/2019,164.2
06/29/2019,164.6
07/01/2019,165.4
07/02/2019,165.8
07/04/2019,164.8
07/07/2019,163.6
07/08/2019,165.0
